,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
158,Nicaragua,0.0,4.0,0.0,2.0,2.0,10.0,2.0,1.0,11.0,16.0,10.0,14.0,1.0,2.0,10.0,12.0,1.0,57.0,0.0,0.0,7.0,2.0,13.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
159,Niger,2.0,6.0,1.0,31.0,3.0,28.0,1.0,7.0,8.0,18.0,5.0,10.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,3.0,11.0,5.0,5.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,52.0,,
160,Nigeria,2.0,2.0,13.0,15.0,3.0,8.0,1.0,2.0,3.0,13.0,6.0,8.0,0.0,4.0,3.0,12.0,12.0,20.0,0.0,3.0,4.0,2.0,13.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,9.0,8.0,,
161,Niue,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
162,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,20.0,7.0,3.0
163,North Korea,1.0,3.0,8.0,20.0,14.0,12.0,3.0,4.0,1.0,23.0,1.0,6.0,3.0,1.0,5.0,8.0,2.0,3.0,0.0,3.0,14.0,4.0,7.0,19.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,1.0,15.0,,
164,Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,8.0,13.0,8.0,4.0
165,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
166,Norway,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,5.0,13.0,8.0,6.0,2.0,5.0,9.0,7.0,9.0,26.0,0.0,0.0,0.0,2.0,0.0,63.0,3.0,6.0,11.0,28.0,10.0,5.0
167,Oman,0.0,7.0,10.0,10.0,1.0,1.0,2.0,1.0,9.0,27.0,9.0,18.0,2.0,3.0,8.0,6.0,10.0,63.0,0.0,4.0,0.0,7.0,14.0,28.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
