,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
230,Turkey,1.0,1.0,7.0,23.0,0.0,12.0,2.0,1.0,9.0,27.0,9.0,18.0,3.0,1.0,4.0,14.0,3.0,32.0,0.0,4.0,7.0,2.0,15.0,7.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,8.0,13.0,8.0,4.0
231,Turkmenistan,0.0,4.0,0.0,18.0,14.0,22.0,3.0,4.0,1.0,31.0,0.0,6.0,2.0,6.0,2.0,14.0,4.0,1.0,0.0,4.0,10.0,0.0,11.0,27.0,0.0,7.0,6.0,2.0,25.0,25.0,0.0,5.0,12.0,22.0,11.0,6.0
232,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
233,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
234,US Naval Base Guantanamo Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Uganda,2.0,6.0,1.0,3.0,3.0,28.0,3.0,0.0,6.0,8.0,8.0,15.0,0.0,4.0,3.0,4.0,31.0,17.0,0.0,3.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,61.0,3.0,0.0,10.0,32.0,,
236,Ukraine,1.0,3.0,2.0,0.0,15.0,12.0,2.0,1.0,2.0,24.0,10.0,1.0,3.0,6.0,4.0,14.0,4.0,3.0,0.0,0.0,7.0,2.0,0.0,25.0,1.0,4.0,14.0,11.0,5.0,20.0,0.0,5.0,3.0,22.0,,6.0
237,United Arab Emirates,3.0,5.0,15.0,8.0,7.0,7.0,2.0,1.0,9.0,27.0,9.0,18.0,2.0,3.0,8.0,6.0,10.0,63.0,0.0,4.0,0.0,7.0,14.0,28.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
238,United Kingdom,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,2.0,11.0,5.0,3.0,1.0,4.0,10.0,0.0,54.0,2.0,5.0,3.0,6.0,9.0,13.0,0.0,0.0,0.0,2.0,0.0,63.0,3.0,0.0,5.0,29.0,,
239,United Republic of Tanzania,2.0,2.0,13.0,15.0,11.0,8.0,3.0,0.0,6.0,8.0,8.0,15.0,0.0,2.0,12.0,4.0,23.0,48.0,0.0,3.0,4.0,0.0,4.0,3.0,3.0,2.0,3.0,15.0,1.0,1.0,1.0,4.0,7.0,20.0,,3.0
240,United States of America,1.0,3.0,8.0,13.0,5.0,15.0,2.0,1.0,2.0,7.0,9.0,5.0,3.0,7.0,6.0,15.0,3.0,3.0,2.0,5.0,9.0,7.0,9.0,26.0,0.0,0.0,12.0,2.0,0.0,16.0,1.0,4.0,7.0,20.0,7.0,3.0
241,Uruguay,1.0,3.0,8.0,20.0,15.0,12.0,2.0,1.0,2.0,7.0,4.0,7.0,2.0,0.0,13.0,1.0,15.0,15.0,0.0,0.0,13.0,2.0,6.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
242,Uzbekistan,0.0,4.0,0.0,2.0,2.0,10.0,2.0,4.0,11.0,3.0,12.0,16.0,3.0,6.0,2.0,0.0,4.0,56.0,0.0,4.0,10.0,0.0,4.0,6.0,0.0,7.0,6.0,2.0,21.0,14.0,0.0,5.0,12.0,22.0,11.0,6.0
243,Vanuatu,0.0,7.0,3.0,30.0,11.0,8.0,,,,,,,1.0,2.0,10.0,4.0,18.0,17.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,17.0,,
244,Vatican,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
245,Venezuela,0.0,1.0,14.0,22.0,0.0,2.0,0.0,3.0,12.0,4.0,7.0,2.0,1.0,5.0,0.0,11.0,7.0,9.0,0.0,4.0,10.0,0.0,11.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
246,Vietnam,1.0,1.0,7.0,23.0,2.0,12.0,3.0,4.0,1.0,23.0,1.0,6.0,1.0,2.0,10.0,12.0,1.0,40.0,0.0,4.0,10.0,2.0,13.0,21.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,13.0,35.0,,
247,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
248,Yemen,2.0,2.0,4.0,27.0,1.0,1.0,3.0,0.0,6.0,31.0,0.0,10.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
249,Zambia,2.0,2.0,13.0,15.0,11.0,8.0,3.0,0.0,6.0,30.0,5.0,10.0,1.0,2.0,12.0,4.0,23.0,45.0,0.0,4.0,8.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
250,Zimbabwe,0.0,7.0,3.0,6.0,11.0,8.0,1.0,7.0,14.0,29.0,14.0,0.0,0.0,4.0,12.0,4.0,23.0,45.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,3.0,0.0,10.0,32.0,,
